date,SMA,EMA,MACD,MACD_Hist,MACD_Signal,SlowK,SlowD,RSI,ADX,CCI,Aroon Down,Aroon Up,OBV,1. open,2. high,3. low,4. close,5. volume
2018-06-11 14:00,1687.8741,1687.1999,3.2518,-1.0008,4.2526,75.7269,70.4289,59.8921,29.5372,101.2011,45.0,10.0,4263608.0,1691.505,1692.75,1689.86,1692.75,65188.0
2018-06-11 15:00,1687.7706,1687.817,3.3562,-0.7171,4.0734,87.5962,76.7296,61.251,29.5229,126.3806,40.0,5.0,4395780.0,1692.6475,1693.97,1690.31,1693.68,132172.0
2018-06-11 16:00,1687.5573,1687.9411,3.036,-0.8299,3.8659,74.4814,79.2681,51.7069,29.3112,85.5259,35.0,0.0,4077250.0,1693.71,1693.85,1688.34,1689.12,318530.0
2018-06-12 10:00,1687.9948,1688.5515,3.1677,-0.5585,3.7263,62.9341,75.0039,59.7078,29.4271,175.784,30.0,100.0,4421944.0,1693.0,1699.51,1692.0,1694.35,344694.0
2018-06-12 11:00,1688.3746,1689.2547,3.3613,-0.292,3.6533,54.4697,63.9617,61.8368,29.5371,149.3253,25.0,95.0,4635719.0,1694.7574,1698.025,1692.01,1695.935,213775.0
2018-06-12 12:00,1689.0616,1690.0638,3.6194,-0.0271,3.6465,68.885,62.0963,64.2409,29.6417,154.026,20.0,90.0,4744720.0,1696.06,1698.0,1694.89,1697.75,109001.0
2018-06-12 13:00,1689.685,1690.5594,3.5824,-0.0513,3.6337,71.4205,64.9251,58.6291,29.7636,128.5138,15.0,85.0,4663098.0,1697.75,1698.38,1695.21,1695.268,81622.0
2018-06-12 14:00,1690.0771,1691.1652,3.6444,0.0086,3.6358,70.5931,70.2995,61.1396,29.8137,113.0141,10.0,80.0,4728724.0,1695.16,1697.35,1694.66,1696.92,65626.0
2018-06-12 15:00,1690.2221,1691.2637,3.2749,-0.2888,3.5636,43.5062,61.8399,51.2638,29.5469,65.1914,5.0,75.0,4572076.0,1697.145,1697.5,1692.01,1692.2,156648.0
2018-06-12 16:00,1691.0546,1691.9767,3.4706,-0.0745,3.545,55.0505,56.3833,60.9818,29.3986,98.154,0.0,70.0,4993344.0,1692.4,1699.0,1691.5235,1698.75,421268.0
2018-06-13 10:00,1692.0111,1692.9827,3.8867,0.2733,3.6133,54.225,50.9272,65.4154,29.8579,201.7759,0.0,100.0,5285740.0,1702.81,1709.0,1701.08,1702.54,292396.0
2018-06-13 11:00,1693.0024,1694.3253,4.5305,0.7338,3.7968,82.75,64.0085,69.9588,30.2989,195.118,25.0,100.0,5560531.0,1702.76,1709.09,1702.0938,1707.08,274791.0
